epoch,train_loss,train_acc,test_loss,test_acc
0,3.4000,21.79,9.5155,12.34
1,1.9195,28.31,2.6866,22.75
2,1.8453,31.32,2.7807,23.74
3,1.7879,33.04,2.4899,23.69
4,1.7718,34.45,4.2384,20.98
5,1.7468,35.23,8.7509,15.91
6,1.6994,38.20,6.4905,16.94
7,1.6852,37.66,4.7437,22.95
8,1.6593,38.40,1.9012,34.20
9,1.6356,39.59,2.8756,25.35
10,1.6103,41.02,6.9075,21.95
11,1.5873,41.58,5.7929,18.03
12,1.5807,41.91,2.0529,32.67
13,1.5747,42.00,1.9173,32.29
14,1.5585,42.33,6.0733,18.68
15,1.5480,42.99,2.4951,30.17
16,1.5333,43.68,3.3533,24.03
17,1.5184,44.15,9.3110,14.99
18,1.5259,43.91,4.9484,20.56
19,1.5054,44.65,4.8720,21.03
20,1.5027,44.89,2.0898,30.73
21,1.4939,45.49,3.5255,25.02
22,1.4967,44.86,1.7538,37.89
23,1.4797,45.96,4.3013,25.94
24,1.4735,46.09,2.5731,25.19
25,1.4728,46.01,1.8830,37.37
26,1.4632,46.13,9.3266,19.92
27,1.4573,47.13,1.9359,36.67
28,1.4513,47.06,1.8360,37.73
29,1.4448,47.21,1.9844,37.51
30,1.4453,47.25,2.3749,33.30
31,1.4325,47.51,1.6844,41.89
32,1.4345,47.57,1.5776,42.55
33,1.4292,47.83,1.8336,38.72
34,1.4171,48.16,1.6434,41.11
35,1.4194,48.23,2.1143,37.72
36,1.4089,48.61,1.6113,42.12
37,1.4065,48.07,1.8570,40.69
38,1.4061,48.59,1.7608,42.90
39,1.4044,49.01,1.4989,45.87
40,1.3943,49.37,1.4681,47.26
41,1.3875,49.25,1.4303,47.75
42,1.3946,48.87,1.4214,48.47
43,1.3928,49.12,1.3772,49.42
44,1.3854,49.65,1.4025,48.84
45,1.3863,49.15,1.3963,49.40
46,1.3870,49.43,1.3811,49.48
47,1.3871,49.35,1.3683,49.82
48,1.3843,49.21,1.3715,49.80
49,1.3896,49.42,1.3701,49.67
