epoch,train_loss,train_acc,test_loss,test_acc
0,NaN,NaN,1.2665,56.37
1,NaN,NaN,1.0568,64.10
2,NaN,NaN,0.8988,70.77
3,NaN,NaN,0.8343,73.02
4,NaN,NaN,0.7926,75.50
5,NaN,NaN,0.6699,79.36
6,NaN,NaN,0.6396,81.27
7,NaN,NaN,0.6229,81.50
8,NaN,NaN,0.6509,80.77
9,NaN,NaN,0.5964,83.54
10,NaN,NaN,0.6156,82.24
11,NaN,NaN,0.5695,84.68
12,NaN,NaN,0.5174,84.75
13,NaN,NaN,0.5286,86.19
14,NaN,NaN,0.5176,86.27
15,NaN,NaN,0.5789,85.34
16,NaN,NaN,0.5174,86.45
17,NaN,NaN,0.5021,87.81
18,NaN,NaN,0.4714,87.78
19,NaN,NaN,0.4910,87.87
20,NaN,NaN,0.4780,88.10
21,NaN,NaN,0.4577,88.53
22,NaN,NaN,0.4761,88.21
23,NaN,NaN,0.4885,88.46
24,NaN,NaN,0.4937,88.62
25,NaN,NaN,0.4448,89.20
26,NaN,NaN,0.4850,88.46
27,NaN,NaN,0.4628,88.89
28,NaN,NaN,0.4369,90.06
29,NaN,NaN,0.4145,90.18
30,NaN,NaN,0.4344,89.63
31,NaN,NaN,0.4121,90.23
32,NaN,NaN,0.4104,90.16
33,NaN,NaN,0.4167,89.95
34,NaN,NaN,0.4200,90.26
35,NaN,NaN,0.3976,90.78
36,NaN,NaN,0.3944,90.92
37,NaN,NaN,0.4170,90.39
38,NaN,NaN,0.3885,91.09
39,NaN,NaN,0.3993,91.14
40,NaN,NaN,0.4096,90.73
41,NaN,NaN,0.4104,91.17
42,NaN,NaN,0.3864,91.07
43,NaN,NaN,0.3953,91.55
44,NaN,NaN,0.3528,91.85
45,NaN,NaN,0.3661,91.64
46,NaN,NaN,0.3623,91.79
47,NaN,NaN,0.3835,91.68
48,NaN,NaN,0.3681,91.65
49,NaN,NaN,0.3759,91.52
50,NaN,NaN,0.3685,91.82
51,NaN,NaN,0.4114,91.63
52,NaN,NaN,0.3975,91.82
53,NaN,NaN,0.3677,92.03
54,NaN,NaN,0.3692,91.88
55,NaN,NaN,0.3956,91.92
56,NaN,NaN,0.3566,92.19
57,NaN,NaN,0.3731,91.85
58,NaN,NaN,0.3469,92.25
59,NaN,NaN,0.3740,92.29
60,NaN,NaN,0.3362,92.59
61,NaN,NaN,0.3624,92.35
62,NaN,NaN,0.3299,92.55
63,NaN,NaN,0.3421,92.60
64,NaN,NaN,0.3429,92.43
65,NaN,NaN,0.3440,92.81
66,NaN,NaN,0.3621,92.62
67,NaN,NaN,0.3163,92.80
68,NaN,NaN,0.3240,92.65
69,NaN,NaN,0.3337,92.68
70,NaN,NaN,0.3354,92.71
71,NaN,NaN,0.3401,92.89
72,NaN,NaN,0.3481,92.75
73,NaN,NaN,0.3875,92.51
74,NaN,NaN,0.3545,92.70
75,NaN,NaN,0.3107,92.89
76,NaN,NaN,0.3574,92.65
77,NaN,NaN,0.3689,92.72
78,NaN,NaN,0.3228,92.97
79,NaN,NaN,0.3153,92.92
