linear_perc,conv_perc,test_loss,test_acc
0.0,0.0,0.3228,92.97
0.0,0.1,0.3254,92.75
0.0,0.2,0.3461,91.81
0.0,0.3,0.4236,89.39
0.0,0.4,0.6627,81.34
0.0,0.5,0.9452,73.13
0.0,0.6,1.6267,46.25
0.0,0.7,2.4014,19.19
0.0,0.8,3.2063,9.99
0.0,0.9,3.5296,10.00
0.1,0.0,0.3231,93.01
0.1,0.1,0.3259,92.71
0.1,0.2,0.3468,91.76
0.1,0.3,0.4258,89.24
0.1,0.4,0.6660,81.20
0.1,0.5,0.9496,72.91
0.1,0.6,1.6350,45.68
0.1,0.7,2.4097,18.98
0.1,0.8,3.2181,9.99
0.1,0.9,3.5403,10.00
0.2,0.0,0.3242,92.98
0.2,0.1,0.3271,92.71
0.2,0.2,0.3483,91.71
0.2,0.3,0.4321,88.93
0.2,0.4,0.6736,80.89
0.2,0.5,0.9552,72.47
0.2,0.6,1.6341,45.64
0.2,0.7,2.4193,18.65
0.2,0.8,3.2236,9.98
0.2,0.9,3.5451,10.00
0.3,0.0,0.3296,92.75
0.3,0.1,0.3323,92.69
0.3,0.2,0.3502,91.68
0.3,0.3,0.4347,89.03
0.3,0.4,0.6774,80.82
0.3,0.5,0.9571,72.67
0.3,0.6,1.6642,44.16
0.3,0.7,2.4660,17.71
0.3,0.8,3.2216,10.00
0.3,0.9,3.4690,10.00
0.4,0.0,0.3374,92.53
0.4,0.1,0.3404,92.44
0.4,0.2,0.3558,91.67
0.4,0.3,0.4449,88.33
0.4,0.4,0.6964,80.12
0.4,0.5,0.9454,73.30
0.4,0.6,1.6517,44.33
0.4,0.7,2.4760,17.20
0.4,0.8,3.1676,10.00
0.4,0.9,3.4602,10.00
0.5,0.0,0.3543,92.17
0.5,0.1,0.3575,91.97
0.5,0.2,0.3746,91.22
0.5,0.3,0.4805,87.33
0.5,0.4,0.7491,78.34
0.5,0.5,0.9741,72.15
0.5,0.6,1.6120,47.34
0.5,0.7,2.3648,18.22
0.5,0.8,3.3068,10.00
0.5,0.9,3.5135,10.00
0.6,0.0,0.4037,91.29
0.6,0.1,0.4078,91.03
0.6,0.2,0.4315,89.82
0.6,0.3,0.5613,85.08
0.6,0.4,0.8528,74.51
0.6,0.5,1.0611,67.88
0.6,0.6,1.5914,49.42
0.6,0.7,2.2364,21.90
0.6,0.8,3.4191,10.00
0.6,0.9,3.6207,10.00
0.7,0.0,0.4539,90.63
0.7,0.1,0.4596,90.27
0.7,0.2,0.4850,88.97
0.7,0.3,0.6147,83.50
0.7,0.4,0.9088,72.43
0.7,0.5,1.1145,66.19
0.7,0.6,1.6320,46.33
0.7,0.7,2.2299,21.02
0.7,0.8,3.5236,10.00
0.7,0.9,3.9930,10.00
0.8,0.0,0.5743,88.69
0.8,0.1,0.5822,88.11
0.8,0.2,0.6051,86.60
0.8,0.3,0.7384,80.52
0.8,0.4,1.0141,70.10
0.8,0.5,1.2437,62.64
0.8,0.6,1.7816,39.42
0.8,0.7,2.2471,15.89
0.8,0.8,3.4611,10.00
0.8,0.9,3.5904,10.00
0.9,0.0,0.8268,87.68
0.9,0.1,0.8292,87.24
0.9,0.2,0.8468,85.63
0.9,0.3,0.9318,79.94
0.9,0.4,1.1503,69.86
0.9,0.5,1.3432,65.07
0.9,0.6,1.8278,39.83
0.9,0.7,2.1957,21.24
0.9,0.8,2.6986,10.01
0.9,0.9,2.7528,10.00
