linear_perc,conv_perc,pruned_loss,pruned_acc,test_loss,test_acc
0.6,0.3,0.5613,85.08,0.3311,92.24
0.6,0.31,0.5752,84.59,0.3638,92.03
0.6,0.32,0.5860,84.24,0.3524,92.06
0.6,0.33,0.5738,85.11,0.3385,92.26
0.6,0.34,0.5889,84.46,0.3599,91.97
0.6,0.35,0.5727,85.53,0.3993,91.61
0.6,0.36,0.6336,83.07,0.3421,92.18
0.6,0.37,0.6690,81.58,0.3585,91.97
0.6,0.38,0.6921,80.58,0.3460,92.10
0.6,0.39,0.7552,78.12,0.3868,91.74
0.6,0.4,0.8528,74.51,0.3722,91.75
0.6,0.41,0.7952,76.55,0.3350,92.01
0.6,0.42,0.7331,78.95,0.3580,92.17
0.6,0.43,0.7850,77.64,0.3507,92.04
0.6,0.44,0.7891,78.63,0.3435,92.03
0.6,0.45,0.7408,80.78,0.3831,91.65
0.6,0.46,0.7676,79.99,0.3583,91.86
0.6,0.47,0.8565,76.38,0.3771,91.89
0.6,0.48,0.9234,74.18,0.3697,91.92
0.6,0.49,0.9701,71.61,0.3352,91.98
0.6,0.5,1.0611,67.88,0.3968,91.72
0.6,0.51,1.0695,67.57,0.3581,91.82
0.6,0.52,1.0365,67.96,0.3444,91.94
0.6,0.53,1.1211,64.56,0.3514,91.96
0.6,0.54,1.2933,58.43,0.3567,91.55
0.6,0.55,1.3139,57.58,0.3829,91.55
0.6,0.56,1.2710,61.07,0.3888,91.60
0.6,0.57,1.4119,54.37,0.3773,91.54
0.6,0.58,1.4680,51.34,0.3683,91.43
0.6,0.59,1.6108,46.74,0.3929,91.19
0.6,0.6,1.5914,49.42,0.3877,91.37
0.6,0.61,1.7264,44.71,0.3717,91.57
0.6,0.62,1.8055,40.02,0.3764,91.26
0.6,0.63,1.9697,35.50,0.3674,91.35
0.6,0.64,2.0487,29.50,0.3893,91.18
0.6,0.65,2.1612,26.54,0.3901,90.99
0.6,0.66,2.2765,24.02,0.4123,90.63
0.6,0.67,2.4129,20.08,0.3732,90.93
0.6,0.68,2.3558,22.98,0.4184,90.95
0.6,0.69,2.3625,22.61,0.3753,90.84
0.6,0.7,2.2364,21.90,0.4178,90.45
0.6,0.71,2.2777,19.88,0.3977,90.66
0.6,0.72,2.4905,13.93,0.4209,90.22
0.6,0.73,2.7366,10.98,0.3955,90.42
0.6,0.74,2.8432,11.27,0.3967,90.46
0.6,0.75,2.7823,11.38,0.3896,90.41
0.6,0.76,3.0502,10.00,0.3956,90.40
0.6,0.77,3.1526,10.00,0.4470,89.56
0.6,0.78,3.2791,10.00,0.4172,89.89
0.6,0.79,3.3250,10.00,0.4449,89.45
0.6,0.8,3.4191,10.00,0.4204,89.91
0.6,0.81,3.3090,10.00,0.4722,89.36
0.6,0.82,3.6480,10.00,0.4582,89.09
0.6,0.83,3.5610,10.00,0.4233,89.17
0.6,0.84,3.5136,10.00,0.4285,89.10
0.6,0.85,3.8011,10.00,0.4736,88.52
0.6,0.86,3.6308,10.00,0.4604,88.04
0.6,0.87,3.6183,10.00,0.5107,87.52
0.6,0.88,3.5482,10.00,0.4782,87.43
0.6,0.89,3.6132,10.00,0.5255,86.57
0.6,0.9,3.6207,10.00,0.5316,86.07
0.6,0.91,3.7288,10.00,0.5610,85.22
0.6,0.92,3.6853,10.00,0.5687,83.99
0.6,0.93,4.0306,10.00,0.6204,82.75
0.6,0.94,4.1473,10.00,0.6641,80.62
0.6,0.95,4.1366,10.00,0.7113,78.56
0.6,0.96,4.2299,10.00,0.8647,72.21
0.6,0.97,4.5216,10.00,0.9926,66.38
0.6,0.98,4.5319,10.00,1.1503,59.83
