linear_perc,conv_perc,pruned_loss,pruned_acc,test_loss,test_acc
0.6,0.5,1.0611,67.88,0.3714,91.82
0.6,0.51,1.0695,67.57,0.3487,92.02
0.6,0.52,1.0365,67.96,0.3907,91.70
0.6,0.53,1.1211,64.56,0.3719,91.42
0.6,0.54,1.2933,58.43,0.3649,91.58
0.6,0.55,1.3139,57.58,0.3803,91.50
0.6,0.56,1.2710,61.07,0.3607,91.61
0.6,0.57,1.4119,54.37,0.3892,91.51
0.6,0.58,1.4680,51.34,0.3642,91.36
0.6,0.59,1.6108,46.74,0.3850,91.12
0.6,0.6,1.5914,49.42,0.3709,91.37
0.6,0.61,1.7264,44.71,0.3845,91.53
0.6,0.62,1.8055,40.02,0.3973,91.32
0.6,0.63,1.9697,35.50,0.3601,91.35
0.6,0.64,2.0487,29.50,0.3883,91.27
0.6,0.65,2.1612,26.54,0.3840,91.27
0.6,0.66,2.2765,24.02,0.3511,91.10
0.6,0.67,2.4129,20.08,0.3816,91.19
0.6,0.68,2.3558,22.98,0.4017,90.83
0.6,0.69,2.3625,22.61,0.3869,90.69
